Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0005640	2453	905	845	3755	1418	1740	1235	1414	1204	1915	1983	2133	1647.45	1284	2010	1.565	0.646	7.022	2.18605003769563e-12	8.52464054000959e-11	0.0041	0.0061	0.0054	0.0054	TRUE	NA
FBgn0010470	7795	2677	3146	10779	4299	5032	3926	4184	4483	5497	6013	6168	5044.93	4198	5893	1.404	0.489	7.017	2.26828437801072e-12	8.80686065027642e-11	7e-04	0.005	0.0033	0.0033	TRUE	NA
FBgn0030037	1138	374	390	1721	683	765	573	584	556	878	955	938	747.32	571	924	1.611	0.688	6.982	2.91090497733876e-12	1.12044747619117e-10	0	0.008	0.0055	0.0055	TRUE	NA
FBgn0038436	985	354	374	1584	605	733	496	553	533	808	846	898	689.1	527	851	1.615	0.692	6.941	3.88236279511496e-12	1.46284809115513e-10	0	0.0083	0.0055	0.0055	TRUE	NA
FBgn0050463	33	10	10	204	62	49	17	16	14	104	87	60	49.55	16	84	5.475	2.453	6.928	4.25518683640125e-12	1.58990872171812e-10	0.0234	0.0572	0.0489	0.0489	TRUE	NA
FBgn0050035	1994	766	773	2853	1276	1422	1004	1197	1101	1455	1785	1743	1380.89	1101	1661	1.503	0.588	6.893	5.46146934348855e-12	2.03212171822303e-10	5e-04	0.0064	0.0044	0.0044	TRUE	NA
FBgn0010786	6159	2389	2555	8325	3724	4118	3102	3734	3641	4245	5209	5047	4162.91	3492	4834	1.383	0.468	6.855	7.13157181998383e-12	2.6207792737636e-10	0	0.0052	0.0031	0.0031	TRUE	NA
FBgn0027949	2348	726	862	3228	1401	1549	1183	1135	1228	1646	1960	1899	1508.28	1182	1835	1.542	0.625	6.834	8.27159488049296e-12	3.02726812634435e-10	0.0034	0.0063	0.0053	0.0053	TRUE	NA
FBgn0036007	2033	669	683	3501	1226	1168	1024	1046	973	1785	1715	1432	1329.05	1014	1644	1.622	0.698	6.83	8.49579149380182e-12	3.08547765625879e-10	0.0072	0.0065	0.0066	0.0066	TRUE	NA
FBgn0285963	2888	893	1067	4051	1550	1788	1455	1396	1520	2066	2168	2192	1799.29	1457	2142	1.467	0.553	6.816	9.36749261111748e-12	3.3730527829548e-10	5e-04	0.006	0.0041	0.0041	TRUE	NA
FBgn0003886	465	212	238	775	414	551	234	331	339	395	579	675	425.71	301	550	1.803	0.85	6.806	1.00436579947954e-11	3.58759463574091e-10	0.0038	0.0107	0.0086	0.0086	TRUE	NA
FBgn0014029	4474	2061	2360	6153	3222	3808	2253	3221	3363	3138	4506	4667	3524.78	2946	4104	1.393	0.478	6.792	1.1021912633728e-11	3.92134182546578e-10	1e-04	0.0053	0.0033	0.0033	TRUE	NA
FBgn0023477	2535	1012	1180	3653	1649	1937	1277	1582	1681	1863	2306	2374	1847.18	1513	2181	1.443	0.529	6.751	1.46703886034367e-11	5.19867342177341e-10	0	0.0059	0.0038	0.0038	TRUE	NA
FBgn0001122	2180	501	457	3309	837	939	1098	783	651	1687	1171	1151	1090.19	844	1336	1.589	0.668	6.737	1.61543973755933e-11	5.70192761122719e-10	0.0033	0.0069	0.0059	0.0059	TRUE	NA
