Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0283545	41	13	11	73	37	33	21	20	16	37	52	40	31.01	19	43	2.233	1.159	2.911	0.00360054639164368	0.0410628254934319	0	0.1144	0.0746	0.0746	TRUE	0.1961
FBgn0039696	1181	394	451	1430	606	687	595	616	643	729	848	842	712.01	618	806	1.304	0.383	2.91	0.00360922044329866	0.0411091131565999	0.0038	0.0173	0.0109	0.0109	TRUE	0.0895
FBgn0030467	1423	462	554	1796	705	766	717	722	789	916	986	939	844.82	743	947	1.275	0.351	2.906	0.0036661999123376	0.0415456012966807	0.001	0.0166	0.0092	0.0092	TRUE	0.0344
FBgn0037852	1363	416	474	1608	623	715	686	650	675	820	871	876	763.29	670	856	1.273	0.348	2.906	0.0036620100288653	0.0415456012966807	0	0.017	0.0089	0.0089	TRUE	0.0174
FBgn0004872	1680	562	532	2629	805	766	846	878	758	1341	1126	939	981.32	827	1135	1.374	0.459	2.903	0.00369899052105535	0.0418107976789848	0.0169	0.0161	0.0169	0.0169	TRUE	0.1713
FBgn0051125	41	9	10	71	31	32	21	14	14	36	43	39	27.96	16	39	2.319	1.214	2.901	0.00371527734652493	0.0418356198805278	0	0.1255	0.0819	0.0819	TRUE	0.4539
FBgn0261811	7571	2891	2444	9863	3824	4003	3813	4518	3482	5030	5348	4906	4516.37	3938	5095	1.294	0.372	2.902	0.00371336876655041	0.0418356198805278	0.0097	0.0135	0.0116	0.0116	TRUE	0.1992
FBgn0053969	524	176	246	798	296	334	264	275	351	407	414	409	353.3	297	410	1.39	0.476	2.9	0.00372738303928371	0.0419189403167929	0.0083	0.0218	0.0162	0.0162	TRUE	0.2706
FBgn0259683	253	55	68	374	116	122	127	86	97	191	162	150	135.46	103	168	1.598	0.677	2.896	0.0037801220266682	0.0423516313101052	0.023	0.0361	0.0311	0.0311	TRUE	0.5018
FBgn0260768	293	74	99	378	149	164	148	116	141	193	208	201	167.74	135	201	1.472	0.557	2.892	0.0038289497073815	0.0428278673774307	0	0.0316	0.0202	0.0202	TRUE	0.132
FBgn0053138	2153	912	1059	2996	1484	1685	1084	1425	1509	1528	2076	2065	1614.55	1339	1890	1.412	0.498	2.884	0.00392619548388644	0.0437679889549143	0.0269	0.0148	0.0207	0.0207	TRUE	0.3468
FBgn0034139	36	10	17	74	29	41	18	16	24	38	41	50	31.09	19	43	2.215	1.148	2.876	0.00402932964073148	0.0448055419600441	0	0.1142	0.0751	0.0751	TRUE	0.1733
FBgn0026084	1793	397	430	2322	666	792	903	620	613	1184	932	971	870.42	712	1029	1.44	0.526	2.872	0.00408019817674365	0.0452018969654921	0.0339	0.0165	0.0229	0.0229	TRUE	0.6814
FBgn0060296	148	40	57	269	83	83	75	63	81	137	116	102	95.54	73	118	1.634	0.708	2.851	0.00435404604737453	0.0477604533792672	0.0114	0.0458	0.0327	0.0327	TRUE	0.2372
FBgn0034564	584	161	197	710	261	327	294	252	281	362	365	401	325.73	276	376	1.356	0.439	2.848	0.00440078489248938	0.0481514363233372	0.0019	0.0225	0.0138	0.0138	TRUE	0.058
FBgn0053193	505	193	191	629	298	364	254	302	272	321	417	446	335.31	276	395	1.428	0.514	2.848	0.00440590778079261	0.0481514363233372	0.0171	0.0222	0.0201	0.0201	TRUE	0.342
FBgn0053199	839	281	345	1268	387	491	423	439	492	647	541	602	523.83	451	597	1.33	0.411	2.847	0.00441948832589244	0.0482167658328506	0.0054	0.0189	0.0129	0.0129	TRUE	0.0742
FBgn0038107	2179	701	947	2710	1137	1422	1097	1096	1349	1382	1590	1743	1376.26	1181	1572	1.331	0.412	2.844	0.00445598932483658	0.0485201673793636	0.0132	0.0151	0.0143	0.0143	TRUE	0.1831
