Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0085899	1158	172	320	2080	787	782	599	258	451	1062	1081	970	736.8	436	1038	2.449	1.292	4.677	2.9167984678558e-06	9.64506199903495e-05	0.0741	0.0348	0.0531	0.0531	TRUE	NA
FBtr0342808	118	93	80	694	241	196	61	139	113	354	331	243	206.93	104	309	3.122	1.642	4.66	3.15480523685066e-06	0.000104126230308069	0.1073	0.0574	0.0825	0.0825	TRUE	NA
FBtr0342820	108	82	71	494	209	169	56	123	100	252	287	210	171.28	93	250	2.837	1.504	4.652	3.28288722752934e-06	0.000108151876987377	0.0709	0.064	0.0674	0.0674	TRUE	NA
FBtr0075191	1935	1338	1724	3896	2779	2669	1001	2004	2429	1990	3816	3311	2425.17	1811	3039	1.726	0.787	4.646	3.37667365391998e-06	0.000110012400757824	0.0139	0.0286	0.0202	0.0202	TRUE	NA
FBtr0087618	10531	3918	2626	19159	7930	7660	5450	5868	3699	9784	10890	9503	7532.41	5006	10059	2.013	1.009	4.646	3.38988922487233e-06	0.00011023994536253	0.0379	0.0268	0.0338	0.0338	TRUE	NA
FBtr0074805	2083	488	516	3181	816	909	1078	731	727	1624	1121	1128	1068.09	845	1291	1.53	0.613	4.643	3.43216015749974e-06	0.000111002459499685	0	0.032	0.0114	0.0114	TRUE	NA
FBtr0080389	5399	552	633	7712	2382	1997	2794	827	892	3938	3271	2478	2366.57	1504	3229	2.51	1.328	4.64	3.48261900380871e-06	0.000112428855467846	0.093	0.0287	0.0583	0.0583	TRUE	NA
FBtr0299538	529	379	364	1300	708	675	274	568	513	664	972	837	637.96	452	824	1.898	0.925	4.628	3.69824816356345e-06	0.00011873994239855	0.0193	0.0361	0.027	0.027	TRUE	NA
FBtr0114602	1050	172	126	1576	686	742	543	258	177	805	942	921	607.65	326	889	3	1.585	4.626	3.71952326814974e-06	0.000119206677784125	0.1384	0.0367	0.0819	0.0819	TRUE	NA
FBtr0080846	556	177	169	1083	294	389	288	265	238	553	404	483	371.72	264	480	1.819	0.863	4.612	3.98246692180394e-06	0.000126715507758333	0.0047	0.0435	0.0219	0.0219	TRUE	NA
FBtr0339428	66	84	183	398	313	439	34	126	258	203	430	545	265.91	139	393	3.341	1.74	4.593	4.37282342597007e-06	0.00013838930094604	0.1565	0.0504	0.0975	0.0975	TRUE	NA
FBtr0300542	97	60	45	268	136	133	50	90	63	137	187	165	115.35	68	163	2.443	1.289	4.577	4.71941337076439e-06	0.000149091324896773	0.0055	0.0824	0.0461	0.0461	TRUE	NA
FBtr0345339	60	15	12	184	61	53	31	22	17	94	84	66	52.32	23	81	3.464	1.792	4.572	4.83836644167943e-06	0.000152034708205597	0	0.1504	0.0799	0.0799	TRUE	NA
FBtr0331664	29	29	32	194	81	104	15	43	45	99	111	129	73.81	34	113	3.659	1.872	4.564	5.00716377179548e-06	0.000157059812565308	0	0.1142	0.1003	0.1003	TRUE	NA
FBtr0087292	1127	251	314	2171	458	583	583	376	442	1109	629	723	643.73	467	820	1.737	0.796	4.563	5.03266971132656e-06	0.000157580459934652	0.0073	0.0361	0.0199	0.0199	TRUE	NA
FBtr0085602	275	151	128	572	257	329	142	226	180	292	353	408	267	183	351	1.935	0.953	4.558	5.17605945285216e-06	0.000161214203838746	0.0062	0.0503	0.0271	0.0271	TRUE	NA
FBtr0088832	1854	612	751	2984	1109	1240	960	917	1058	1524	1523	1538	1253.2	978	1528	1.563	0.644	4.556	5.21893610998599e-06	0.000162263969634028	0.0018	0.0311	0.0135	0.0135	TRUE	NA
