Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0084028	594	212	268	315	121	155	307	318	378	161	166	192	253.63	334	173	0.519	-0.947	-4.648	3.35171363370302e-06	0.000109602894443327	0.0031	0.0516	0.0254	0.0254	TRUE	NA
FBtr0080514	2118	565	348	298	210	233	1096	846	490	152	288	289	527.04	811	243	0.297	-1.749	-4.647	3.37537635144082e-06	0.000110012400757824	0.1778	0.0383	0.0993	0.0993	TRUE	NA
FBtr0083252	601	131	105	173	64	40	311	196	148	88	88	50	146.84	218	75	0.352	-1.505	-4.644	3.40921189795942e-06	0.000110664894838165	0.0596	0.0703	0.0654	0.0654	TRUE	NA
FBtr0333362	3086	652	607	1598	416	315	1597	977	855	816	571	391	867.8	1143	593	0.52	-0.943	-4.644	3.4202697885023e-06	0.000110820499685704	0.0233	0.0334	0.0282	0.0282	TRUE	NA
FBtr0079321	3086	1021	1313	1476	729	882	1597	1529	1850	754	1001	1094	1304.16	1659	950	0.565	-0.823	-4.633	3.60797706247612e-06	0.000116263610587004	0.0149	0.0309	0.0219	0.0219	TRUE	NA
FBtr0336759	1328	446	496	372	252	324	687	668	699	190	346	402	498.66	685	313	0.435	-1.2	-4.631	3.64512849509868e-06	0.000117247214921438	0.053	0.039	0.046	0.046	TRUE	NA
FBtr0330390	693	218	356	391	108	105	359	327	501	200	148	130	277.48	396	159	0.401	-1.319	-4.626	3.7266042561063e-06	0.000119217641762706	0.0598	0.0494	0.0538	0.0538	TRUE	NA
FBtr0330249	2141	790	746	1026	491	589	1108	1183	1051	524	674	731	878.51	1114	643	0.571	-0.809	-4.616	3.9166556178562e-06	0.000125071398078509	0.0116	0.0333	0.0209	0.0209	TRUE	NA
FBtr0310034	336	87	78	156	29	32	174	130	110	80	40	40	95.54	138	53	0.377	-1.409	-4.615	3.93058648773874e-06	0.000125290100098353	0	0.0941	0.0521	0.0521	TRUE	NA
FBtr0332502	783	184	229	305	101	142	405	276	323	156	139	176	245.67	335	157	0.471	-1.087	-4.603	4.16077948623945e-06	0.000132151436070129	0.0194	0.0524	0.0351	0.0351	TRUE	NA
FBtr0072674	7115	3565	3557	4568	2417	2972	3682	5340	5011	2333	3319	3687	3895.24	4678	3113	0.662	-0.595	-4.598	4.25975320149171e-06	0.000135052498006433	0.0032	0.0276	0.0118	0.0118	TRUE	NA
FBtr0087111	54656	21955	28984	35164	15918	19170	28286	32884	40828	17957	21859	23783	27599.65	33999	21200	0.624	-0.68	-4.575	4.7544110154256e-06	0.000149929207261844	0.0121	0.0262	0.0159	0.0159	TRUE	NA
FBtr0336620	266	68	68	89	20	35	138	102	96	45	27	43	75.27	112	38	0.348	-1.522	-4.573	4.79915324522189e-06	0.00015107085420146	0	0.1124	0.0611	0.0611	TRUE	NA
FBtr0079667	2811	468	456	890	291	305	1455	701	642	454	400	378	671.76	933	411	0.469	-1.093	-4.563	5.04328572657163e-06	0.000157633865351199	0.0427	0.0356	0.0392	0.0392	TRUE	NA
FBtr0345117	2570	1165	1272	1466	864	967	1330	1745	1792	749	1186	1200	1333.6	1622	1045	0.634	-0.656	-4.561	5.08176648036218e-06	0.000158556491717967	0	0.0308	0.0141	0.0141	TRUE	NA
FBtr0089921	734	225	298	391	154	158	380	337	420	200	211	196	290.64	379	202	0.534	-0.906	-4.552	5.31158341384125e-06	0.00016427836044452	0.0051	0.0483	0.0246	0.0246	TRUE	NA
FBtr0303749	3740	1716	1505	826	954	991	1936	2570	2120	422	1310	1229	1597.86	2209	987	0.401	-1.317	-4.549	5.39638298061516e-06	0.000166609792862239	0.0942	0.03	0.0596	0.0596	TRUE	NA
FBtr0082627	6185	1899	2355	4023	1465	1642	3201	2844	3317	2054	2012	2037	2577.66	3121	2034	0.652	-0.617	-4.522	6.12308369875615e-06	0.000187087173945933	0.0033	0.0285	0.013	0.013	TRUE	NA
FBtr0302396	428	15	16	31	5	4	222	22	23	16	7	5	49.03	89	9	0.145	-2.789	-4.521	6.15137490716026e-06	0.000187627540487193	0.1915	0.1587	0.174	0.174	TRUE	NA
FBtr0085330	8020	2075	2460	5285	1553	1840	4151	3108	3465	2699	2133	2283	2973.01	3575	2372	0.664	-0.59	-4.517	6.2632537315223e-06	0.000190711225067747	0.0023	0.0281	0.0119	0.0119	TRUE	NA
FBtr0075775	5070	3295	3358	2853	2024	2776	2624	4935	4730	1457	2779	3444	3328.29	4096	2560	0.613	-0.706	-4.513	6.39964953041618e-06	0.000194529552994146	0.0099	0.0279	0.0173	0.0173	TRUE	NA
FBtr0332080	571	120	83	239	43	50	296	180	117	122	59	62	139.22	198	81	0.41	-1.285	-4.509	6.51138539033013e-06	0.000197586481887359	0.0226	0.0727	0.0477	0.0477	TRUE	NA
FBtr0087234	2455	905	980	1573	676	745	1271	1356	1380	803	928	924	1110.4	1336	885	0.661	-0.597	-4.503	6.70111801806492e-06	0.000202995682975319	0	0.0318	0.0117	0.0117	TRUE	NA
FBtr0302615	1058	372	311	326	218	155	548	557	438	166	299	192	366.83	514	219	0.418	-1.257	-4.502	6.71985156769689e-06	0.000203215203562608	0.0641	0.0437	0.0527	0.0527	TRUE	NA
FBtr0084447	406	129	105	92	6	41	210	193	148	47	8	51	109.55	184	35	0.191	-2.392	-4.497	6.89892373840495e-06	0.00020791969311094	0.3674	0.0854	0.1851	0.1851	TRUE	NA
FBtr0329843	936	68	68	348	40	29	484	102	96	178	55	36	158.44	227	90	0.417	-1.261	-4.494	6.98978893623156e-06	0.000209942879577033	0.0134	0.067	0.043	0.043	TRUE	NA
FBtr0079658	5920	1808	1765	3451	995	1437	3064	2708	2486	1762	1366	1783	2194.92	2753	1637	0.596	-0.747	-4.492	7.06020067068645e-06	0.000211340118553493	0.0122	0.0289	0.0194	0.0194	TRUE	NA
FBtr0339234	800	357	250	484	107	121	414	535	352	247	147	150	307.52	434	181	0.41	-1.287	-4.486	7.27323702411764e-06	0.000216982860360312	0.063	0.0471	0.055	0.055	TRUE	NA
FBtr0074255	837	235	186	344	78	137	433	352	262	176	107	170	249.99	349	151	0.435	-1.201	-4.48	7.44967380710463e-06	0.000221127817653503	0.0404	0.052	0.0464	0.0464	TRUE	NA
FBtr0082025	3255	1078	1581	1857	686	919	1685	1615	2227	948	942	1140	1426.13	1842	1010	0.549	-0.865	-4.481	7.44670218257571e-06	0.000221127817653503	0.0232	0.0305	0.0261	0.0261	TRUE	NA
FBtr0077560	490	176	260	285	80	98	254	264	366	146	110	122	210.07	295	126	0.43	-1.216	-4.478	7.54772619931496e-06	0.000223289003665687	0.0382	0.0569	0.0472	0.0472	TRUE	NA
FBtr0088957	2470	884	985	1612	664	737	1278	1324	1388	823	912	914	1106.54	1330	883	0.663	-0.593	-4.478	7.54363922874468e-06	0.000223289003665687	0	0.0318	0.0116	0.0116	TRUE	NA
FBtr0305968	2045	474	520	1350	198	239	1058	710	732	689	272	297	626.44	833	419	0.469	-1.092	-4.471	7.79146582257229e-06	0.000230114894602882	0	0.0363	0.0407	0.0407	TRUE	NA
FBtr0071048	1054	346	294	590	191	214	545	518	414	301	262	265	384.49	492	276	0.561	-0.833	-4.468	7.89986895304865e-06	0.000232927636080639	0.0055	0.0429	0.022	0.022	TRUE	NA
FBtr0301651	232	103	66	71	36	26	120	154	93	36	49	32	80.88	122	39	0.319	-1.647	-4.463	8.08275491577932e-06	0.000237536033027878	0.0534	0.1064	0.0808	0.0808	TRUE	NA
